차종,가격,연식,배기량,주행거리,색상,변속기,연료,선루프,LED헤드램프,어댑티드헤드램프,가죽시트,열선시트(앞좌석),통풍시트,후방센서,스마트키,네비게이션(순정),네비게이션(비순정),전손유무,소유자 이전 횟수,침수유무
기아 K8 3.5 LPi   프레스티지,"2,850만원",2021.05,"3,470 cc (240마력)","59,354 km",검정색,자동,LPG,0,1,0,1,1,1,1,1,1,0,,,
현대 그랜저HG 240 모던,699만원,2013.04,"2,359 cc (201마력)","112,949 km",회색,자동,가솔린,0,0,0,1,0,0,1,1,1,0,,,
기아 올 뉴 카니발 2.2 디젤 7인승 하이리무진  프레지던트,"3,250만원",2020.1,"2,151 cc (202마력)","81,414 km",흰색,자동,디젤,1,1,0,1,1,1,1,1,1,0,,,
기아 더 뉴 카니발  2.2 디젤 9인승 노블레스,"1,850만원",2018.03,"2,199 cc (202마력)","84,306 km",검정색,자동,디젤,1,1,0,1,1,1,1,1,1,0,,,
기아 카니발 4세대 2.2 디젤 9인승  프레스티지,"2,390만원",2021.01,"2,151 cc (202마력)","144,830 km",흰색,자동,디젤,0,1,0,1,1,0,1,1,1,0,,,
기아 올 뉴 모닝 1.0 프레스티지,770만원,2017.07,998 cc (),"101,822 km",검정색,자동,가솔린,1,0,0,1,1,0,1,1,1,0,,,
현대 쏘나타 1.6 터보  프리미엄 밀레니얼,"2,090만원",2020.06,"1,598 cc (180마력)","42,995 km",검정색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
현대 쏘나타 2.0 LPi   스마트,"1,450만원",2019.11,"1,999 cc (146마력)","91,410 km",검정색,자동,LPG,0,0,0,1,1,1,1,1,1,0,,,
KG모빌리티 코란도 스포츠 2.0 디젤 4WD CX7 패션,459만원,2012.11,"1,998 cc (155마력)","167,000 km",진회색,자동,디젤,1,0,0,1,1,0,1,0,0,1,,,
기아 더 K9 3.3 터보 AWD  마스터즈Ⅲ,"3,590만원",2018.08,"3,342 cc (370마력)","61,150 km",검정색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,,,
르노코리아 뉴 SM3 1.6 RE,199만원,2010.02,"1,598 cc (112마력)","144,000 km",진주색,자동,가솔린,1,0,0,1,0,0,0,1,0,0,,,
쉐보레 올란도 2.0 디젤 LS 고급형,319만원,2013.09,"1,998 cc (163마력)","155,000 km",흰색,자동,디젤,0,0,0,0,0,0,0,0,0,1,,,
쉐보레 말리부 2.0  LT 디럭스팩,349만원,2012.04,"1,998 cc (141마력)","165,111 km",검정색,자동,가솔린,1,0,0,1,0,0,1,1,0,0,,,
쉐보레 말리부 2.0  LT 디럭스팩,420만원,2012.06,"1,998 cc (141마력)","131,105 km",흰색,자동,가솔린,1,0,0,1,0,0,1,1,0,0,,,
기아 더 뉴 K7 2.4  프레스티지,700만원,2013.08,"2,359 cc (201마력)","173,832 km",흰색,자동,가솔린,1,0,0,1,0,0,1,1,1,0,,,
기아 올 뉴 K7 2.2 디젤  프레스티지,990만원,2016.02,"2,199 cc (202마력)","155,763 km",검정색,자동,디젤,0,0,0,1,1,1,1,1,1,0,,,
기아 올 뉴 모닝 1.0  럭셔리,670만원,2017.05,998 cc (),"110,302 km",검정색,자동,가솔린,0,0,0,1,1,0,1,1,0,0,,,
기아 더 뉴 모닝 1.0  럭셔리,390만원,2015.08,998 cc (),"111,155 km",흰색,자동,가솔린,0,0,0,1,0,0,0,1,1,0,,,
KG모빌리티 코란도 스포츠 2.0 디젤 2WD  CX5 클럽,450만원,2013.02,"1,998 cc (155마력)","165,151 km",진회색,자동,디젤,0,1,0,1,0,0,1,0,1,0,,,
기아 더 뉴 레이 1.0  프레스티지,"1,600만원",2023.04,998 cc (76마력),"19,355 km",흰색,자동,가솔린,0,0,1,1,0,0,1,1,1,0,,,
현대 뉴 투싼ix 2.0 디젤 4WD  프리미엄,690만원,2013.08,"1,995 cc (184마력)","163,639 km",흰색,자동,디젤,0,1,0,1,1,1,1,1,1,0,,,
쉐보레 말리부 2.0 디젤  LT 프리미엄팩,450만원,2014.09,"1,956 cc (156마력)","181,563 km",흰색,자동,디젤,1,0,0,1,0,0,1,1,0,0,,,
기아 올 뉴 모닝 1.0  럭셔리,740만원,2018.04,998 cc (),"98,582 km",흰색,자동,가솔린,0,0,0,1,0,0,0,1,1,0,,,
기아 K5 하이브리드 2.0 HEV 프레스티지,750만원,2011.09,"1,999 cc (191마력)",780 km,검정색,자동,가솔린 하이브리드,0,1,1,1,1,1,1,1,0,1,,,
기아 K5 하이브리드 2.0 HEV  프레스티지,629만원,2012.02,"1,999 cc (191마력)","78,850 km",흰색,자동,가솔린 하이브리드,0,1,1,1,1,1,1,1,1,0,,,
기아 레이 1.0  디럭스,490만원,2014.02,998 cc (78마력),"141,187 km",베이지색,자동,가솔린,0,0,0,1,0,0,1,0,0,1,,,
현대 아반떼AD 1.6 LPi  스마트,640만원,2016.05,"1,591 cc (120마력)","171,409 km",흰색,자동,LPG,1,0,0,1,1,0,1,1,1,0,,,
현대 싼타페DM 2.0 디젤 4WD  프리미엄,999만원,2013.11,"1,995 cc (184마력)","155,363 km",검정색,자동,디젤,1,0,0,1,0,0,1,1,0,0,,,
현대 LF쏘나타 2.4  익스클루시브,799만원,2014.11,"2,359 cc (193마력)","145,831 km",회색,자동,가솔린,1,0,1,1,0,1,1,1,1,0,,,
KG모빌리티 뉴 코란도 C 2.0 디젤 4WD  CVT 고급형,490만원,2013.1,"1,998 cc (181마력)","154,884 km",검정색,자동,디젤,1,0,0,1,0,0,1,1,0,1,,,
르노코리아 QM3 1.5 디젤  RE,540만원,2014.01,"1,461 cc (90마력)","156,951 km",베이지색,자동,디젤,0,1,1,1,1,0,1,1,1,0,,,
기아 K5 2세대 2.0 LPi  MX 럭셔리,899만원,2015.11,"1,999 cc (151마력)","99,434 km",흰색,자동,LPG,0,0,0,1,1,0,0,0,1,0,,,
기아 더 뉴 스포티지R 2.0 디젤 2WD 프레스티지,830만원,2013.08,"1,995 cc (184마력)","107,504 km",흰색,자동,디젤,1,0,0,1,0,1,1,1,0,0,,,
현대 그랜저IG 3.0  익스클루시브,"1,270만원",2016.12,"2,999 cc (266마력)","178,082 km",검정색,자동,가솔린,0,0,0,1,0,1,0,1,1,0,,,
쉐보레 캡티바 2.2 디젤 4WD  LT,570만원,2012.09,"2,231 cc (184마력)","116,331 km",회색,자동,디젤,1,0,0,1,1,0,1,0,1,1,,,
기아 K5 2.0 프레스티지,450만원,2010.07,"1,998 cc (165마력)","167,199 km",은색,자동,가솔린,0,0,0,1,1,1,1,1,1,0,,,
현대 그랜저HG 330 셀러브리티,670만원,2012.09,"3,342 cc (294마력)","210,988 km",검정색,자동,가솔린,0,1,0,1,1,1,1,1,1,0,,,
르노코리아 SM5 노바 2.0 LPLi  고급형,650만원,2016.07,"1,998 cc ()","77,265 km",은색,자동,LPG,0,0,0,1,1,0,1,1,1,0,,,
현대 베라크루즈 3.0 디젤 2WD VX 럭셔리,550만원,2007.08,"2,959 cc (240마력)","136,470 km",회색,자동,디젤,1,0,0,1,1,0,1,0,0,0,,,
기아 더 뉴 K3 1.6  프레스티지,380만원,2016.02,"1,591 cc (132마력)","133,996 km",흰색,자동,가솔린,1,0,0,1,0,0,1,1,0,0,,,
기아 쏘렌토R 2.2 디젤 2WD TLX 최고급형,469만원,2009.06,"2,199 cc (200마력)","159,000 km",은색투톤,자동,디젤,0,0,0,1,1,1,1,1,0,1,,,
쉐보레 스파크 1.0  LS 스타,270만원,2011.03,995 cc (70마력),270 km,은하늘색,자동,가솔린,0,0,0,1,1,0,1,0,0,1,,,
쉐보레 스파크 1.0 LPGi L,199만원,2014.04,995 cc (65마력),"150,000 km",흰색,수동,LPG,0,0,0,0,0,0,0,0,0,0,,,
현대 뉴 에쿠스 3.8  VS380 프라임,499만원,2009.09,"3,778 cc (290마력)","177,077 km",은색,자동,가솔린,0,0,0,1,1,0,1,1,1,0,,,
현대 그랜저HG 300 프라임,499만원,2012.11,"2,999 cc (270마력)","163,000 km",검정색,자동,가솔린,0,0,0,1,1,1,1,1,0,1,,,
기아 더 K9 3.3 터보 AWD  마스터즈Ⅱ,"3,390만원",2018.05,"3,342 cc ()","67,260 km",검정색,자동,가솔린,,,,,,,,,,,,,
르노코리아 뉴 SM5  2.0 SE,199만원,2010.02,"1,998 cc (141마력)","111,000 km",검정색,자동,가솔린,0,0,0,1,1,0,1,1,0,1,,,
현대 그랜드스타렉스 어린이보호차 디젤 12인승 2WD,529만원,2012.06,"2,497 cc (175마력)","147,000 km",노란색,자동,디젤,0,0,0,1,1,0,1,0,0,0,,,
제네시스 GV80 2.5 터보 AWD  5인승,"7,390만원",2023.06,"2,497 cc (304마력)","9,963 km",흰색,자동,가솔린,,,,,,,,,,,전손: 0 , 1회, 침수분손 : 0 
KG모빌리티 코란도 투리스모 2.2 디젤 4WD  TX 9인승,"1,330만원",2017.08,"2,157 cc (178마력)","55,000 km",진주색,자동,디젤,0,0,0,1,1,1,1,0,0,0,전손: 0 , 0회, 침수분손 : 0 
르노코리아 올 뉴 SM7 2.5 RE,329만원,2011.1,"2,495 cc (190마력)","140,000 km",진회색,자동,가솔린,0,0,0,1,1,0,1,1,0,1,,,
기아 EV6 롱 레인지 2WD  에어,"3,050만원",2022.11,111 cc (228마력),"84,119 km",검정색,자동,전기,,,,,,,,,,,,,
기아 카니발 4세대  3.5 가솔린 하이리무진  -,"5,990만원",2022.11,"3,470 cc (294마력)","22,600 km",흰색,자동,가솔린,,,,,,,,,,,,,
현대 아반떼MD 1.6 M16 럭셔리,349만원,2011.04,"1,591 cc ()","179,000 km",흰색,자동,가솔린,0,0,0,0,0,0,0,0,0,0,,,
현대 더 뉴 그랜저 하이브리드 2.4 HEV  프리미엄 초이스,"2,289만원",2020.12,"2,359 cc (200마력)","114,953 km",검정색,자동,가솔린 하이브리드,,,,,,,,,,,,,
제네시스 GV80 3.5 터보 AWD 7인승,"6,999만원",2022.02,"3,470 cc (380마력)","20,286 km",흰색,자동,가솔린,,,,,,,,,,,,,
제네시스 더 올 뉴 G80 2.5 터보,"3,590만원",2020.11,"2,497 cc (304마력)","40,469 km",검정색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
기아 카니발 4세대 3.5 가솔린 9인승 하이리무진 시그니처,"4,199만원",2020.12,"3,470 cc (294마력)","52,180 km",검정색,자동,가솔린,,,,,,,,,,,,,
기아 쏘렌토 4세대 2.2 디젤 2WD  프레스티지,"2,590만원",2020.05,"2,151 cc (202마력)","54,586 km",검정색,자동,디젤,1,1,1,1,1,1,1,1,1,0,,,
기아 더 뉴 카니발 2.2 디젤 9인승 노블레스 스페셜,"2,480만원",2019.11,"2,199 cc (202마력)","53,490 km",흰색,자동,디젤,,,,,,,,,,,,,
기아 올 뉴 카니발 2.2 디젤 9인승 노블레스,"1,730만원",2015.11,"2,199 cc (202마력)","75,226 km",검정색,자동,디젤,,,,,,,,,,,,,
제네시스 더 올 뉴 G80 2.5 터보,"5,190만원",2021.09,"2,497 cc (304마력)","11,024 km",검정색,자동,가솔린,,,,,,,,,,,,,
기아 올 뉴 K7 하이브리드 2.4 HEV 노블레스 스페셜,"2,570만원",2019.01,"2,359 cc (199마력)","49,578 km",검정색,자동,가솔린 하이브리드,0,1,0,1,1,1,1,1,1,0,,,
제네시스 GV80 3.0 디젤 AWD 5인승,"5,800만원",2020.03,"2,996 cc (278마력)","48,325 km",검정색,자동,디젤,,,,,,,,,,,,,
제네시스 GV80 3.0 디젤 AWD 5인승,"5,390만원",2020.1,"2,996 cc (278마력)","72,023 km",흰색,자동,디젤,1,1,1,1,1,1,1,1,1,0,,,
제네시스 G80 3.3 터보 AWD 스포츠,"2,899만원",2016.11,"3,342 cc (370마력)","70,050 km",검정색,자동,가솔린,,,,,,,,,,,,,
기아 스팅어 마이스터 2.5 터보 AWD 마스터즈,"2,799만원",2020.09,"2,497 cc (304마력)","57,230 km",청색,자동,가솔린,,,,,,,,,,,,,
제네시스 G80 3.3 AWD 럭셔리,"2,690만원",2016.07,"3,342 cc (282마력)","29,535 km",흰색,자동,가솔린,1,0,1,1,1,1,1,1,1,0,,,
제네시스 GV70 3.5 터보 AWD,"4,590만원",2022.05,"3,470 cc (380마력)","50,000 km",검정색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 2WD 노블레스,"3,690만원",2022.01,"1,598 cc (230마력)","41,355 km",흰색,자동,가솔린 하이브리드,0,1,1,1,1,1,1,1,1,0,,,
기아 더 뉴 카니발 3.3 가솔린 9인승 하이리무진 노블레스 스페셜,"3,220만원",2019.1,"3,342 cc (280마력)","50,000 km",흰색,자동,디젤,0,1,1,1,1,1,1,1,1,0,,,
제네시스 더 올 뉴 G80 3.5 터보 스포츠팩,"5,150만원",2021.11,"3,470 cc (380마력)","23,425 km",검정색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
현대 싼타페TM 2.0 가솔린 터보 2WD 인스퍼레이션,"2,630만원",2018.1,"1,998 cc (235마력)","43,619 km",검정색,자동,가솔린,,,,,,,,,,,,,
제네시스 G70 3.3 터보 AWD 스포츠 프레스티지,"3,420만원",2020.06,"3,342 cc (370마력)","38,961 km",진회색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
제네시스 더 올 뉴 G80 3.5 터보 AWD,"5,900만원",2022.01,"3,470 cc (380마력)","45,026 km",흰색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,,,
현대 올 뉴 아반떼 1.6 터보 N 라인 인스퍼레이션,"2,200만원",2021.03,"1,598 cc (204마력)","26,823 km",흰색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
제네시스 더 올 뉴 G80 2.2 디젤,"4,720만원",2020.12,"2,151 cc (210마력)","45,994 km",흰색,자동,디젤,0,1,1,1,1,1,1,1,1,0,,,
제네시스 더 올 뉴 G80 3.5 터보 AWD,"4,950만원",2021.01,"3,470 cc (380마력)","53,922 km",검정색,자동,가솔린,,,,,,,,,,,,,
제네시스 GV80 3.0 디젤 AWD 5인승,"4,590만원",2020.05,"2,996 cc (278마력)","92,425 km",검정색,자동,디젤,,,,,,,,,,,,,
기아 더 뉴 카니발 2.2 디젤 9인승 하이리무진 노블레스 스페셜,"3,299만원",2018.11,"2,199 cc (202마력)","42,059 km",검정색,자동,디젤,,,,,,,,,,,,,
제네시스 GV70 2.5 터보 AWD  스포츠,"4,950만원",2022.01,"2,497 cc (304마력)","29,382 km",흰색,자동,가솔린,0,1,1,1,1,1,1,1,1,0,,,
기아 더 뉴 카니발 3.3 가솔린 9인승 하이리무진 노블레스 스페셜,"3,170만원",2018.06,"3,342 cc (280마력)","36,773 km",검정색,자동,가솔린,,,,,,,,,,,,,
기아 쏘렌토 4세대 하이브리드 1.6 터보 HEV 4WD 그래비티,"4,120만원",2021.08,"1,598 cc (230마력)","32,882 km",검정색,자동,가솔린 하이브리드,1,1,1,1,1,1,1,1,1,0,,,
기아 더 K9 3.8 AWD  플래티넘Ⅱ,"3,099만원",2018.06,"3,778 cc (315마력)","41,731 km",흰색,자동,가솔린,1,1,1,1,1,1,1,1,1,0,,,
제네시스 GV80 3.0 디젤 AWD 7인승,"6,799만원",2022.01,"2,996 cc (278마력)","48,484 km",흰색,자동,디젤,1,1,1,1,1,1,1,1,1,0,,,
